=================== prox2-saga ====================
SDCA: PASS_GRAD = 10, cost = 0.0043430668231465, optgap = Inf, time = 2.260096, w_opt = Inf
SDCA: PASS_GRAD = 11, cost = 0.0034953850342300, optgap = Inf, time = 2.486542, w_opt = Inf
SDCA: PASS_GRAD = 12, cost = 0.0034867458842378, optgap = Inf, time = 2.709136, w_opt = Inf
SDCA: PASS_GRAD = 13, cost = 0.0031470626260832, optgap = Inf, time = 2.936210, w_opt = Inf
SDCA: PASS_GRAD = 14, cost = 0.0038359361966671, optgap = Inf, time = 3.161316, w_opt = Inf
SDCA: PASS_GRAD = 15, cost = 0.0030798285466239, optgap = Inf, time = 3.387721, w_opt = Inf
SDCA: PASS_GRAD = 16, cost = 0.0031096721757028, optgap = Inf, time = 3.611983, w_opt = Inf
SDCA: PASS_GRAD = 17, cost = 0.0032725795340476, optgap = Inf, time = 3.844045, w_opt = Inf
SDCA: PASS_GRAD = 18, cost = 0.0035764099621832, optgap = Inf, time = 4.070132, w_opt = Inf
SDCA: PASS_GRAD = 19, cost = 0.0033202910491603, optgap = Inf, time = 4.293271, w_opt = Inf
SDCA: PASS_GRAD = 20, cost = 0.0028415013367255, optgap = Inf, time = 4.518211, w_opt = Inf
SDCA: PASS_GRAD = 21, cost = 0.0028346701400489, optgap = Inf, time = 4.741427, w_opt = Inf
SDCA: PASS_GRAD = 22, cost = 0.0028570320569644, optgap = Inf, time = 4.967707, w_opt = Inf
SDCA: PASS_GRAD = 23, cost = 0.0027947317897855, optgap = Inf, time = 5.189504, w_opt = Inf
SDCA: PASS_GRAD = 24, cost = 0.0027551622553548, optgap = Inf, time = 5.413451, w_opt = Inf
SDCA: PASS_GRAD = 25, cost = 0.0027651413245669, optgap = Inf, time = 5.633434, w_opt = Inf
SDCA: PASS_GRAD = 26, cost = 0.0027342601193773, optgap = Inf, time = 5.861641, w_opt = Inf
SDCA: PASS_GRAD = 27, cost = 0.0028553315600962, optgap = Inf, time = 6.087831, w_opt = Inf
SDCA: PASS_GRAD = 28, cost = 0.0027331233053730, optgap = Inf, time = 6.309740, w_opt = Inf
SDCA: PASS_GRAD = 29, cost = 0.0027369831883310, optgap = Inf, time = 6.533180, w_opt = Inf
SDCA: PASS_GRAD = 30, cost = 0.0028538030737398, optgap = Inf, time = 6.754487, w_opt = Inf
SDCA: PASS_GRAD = 31, cost = 0.0027280361922601, optgap = Inf, time = 6.983065, w_opt = Inf
SDCA: PASS_GRAD = 32, cost = 0.0027118421587179, optgap = Inf, time = 7.207697, w_opt = Inf
SDCA: PASS_GRAD = 33, cost = 0.0027124950870514, optgap = Inf, time = 7.429865, w_opt = Inf
SDCA: PASS_GRAD = 34, cost = 0.0026638296478518, optgap = Inf, time = 7.654197, w_opt = Inf
SDCA: PASS_GRAD = 35, cost = 0.0028088855093034, optgap = Inf, time = 7.883131, w_opt = Inf
SDCA: PASS_GRAD = 36, cost = 0.0026613607537710, optgap = Inf, time = 8.113562, w_opt = Inf
SDCA: PASS_GRAD = 37, cost = 0.0026810598382360, optgap = Inf, time = 8.339101, w_opt = Inf
SDCA: PASS_GRAD = 38, cost = 0.0027590719383405, optgap = Inf, time = 8.561886, w_opt = Inf
SDCA: PASS_GRAD = 39, cost = 0.0026837031045377, optgap = Inf, time = 8.786863, w_opt = Inf
SDCA: PASS_GRAD = 40, cost = 0.0026557519262054, optgap = Inf, time = 9.017075, w_opt = Inf
SDCA: PASS_GRAD = 41, cost = 0.0026501408304792, optgap = Inf, time = 9.242237, w_opt = Inf
SDCA: PASS_GRAD = 42, cost = 0.0026439173772050, optgap = Inf, time = 9.467447, w_opt = Inf
SDCA: PASS_GRAD = 43, cost = 0.0026191022732940, optgap = Inf, time = 9.690762, w_opt = Inf
SDCA: PASS_GRAD = 44, cost = 0.0027049112677162, optgap = Inf, time = 9.922967, w_opt = Inf
SDCA: PASS_GRAD = 45, cost = 0.0027146367486657, optgap = Inf, time = 10.145692, w_opt = Inf
SDCA: PASS_GRAD = 46, cost = 0.0027199645520676, optgap = Inf, time = 10.369603, w_opt = Inf
SDCA: PASS_GRAD = 47, cost = 0.0026444531269703, optgap = Inf, time = 10.591409, w_opt = Inf
SDCA: PASS_GRAD = 48, cost = 0.0026282977599560, optgap = Inf, time = 10.812025, w_opt = Inf
SDCA: PASS_GRAD = 49, cost = 0.0026122518309909, optgap = Inf, time = 11.038515, w_opt = Inf
SDCA: PASS_GRAD = 50, cost = 0.0026864798757357, optgap = Inf, time = 11.262326, w_opt = Inf
SDCA: PASS_GRAD = 51, cost = 0.0026302409050942, optgap = Inf, time = 11.486541, w_opt = Inf
SDCA: PASS_GRAD = 52, cost = 0.0026187228537887, optgap = Inf, time = 11.709965, w_opt = Inf
SDCA: PASS_GRAD = 53, cost = 0.0026251723797068, optgap = Inf, time = 11.939214, w_opt = Inf
SDCA: PASS_GRAD = 54, cost = 0.0026421910106802, optgap = Inf, time = 12.164125, w_opt = Inf
SDCA: PASS_GRAD = 55, cost = 0.0026423823777651, optgap = Inf, time = 12.389227, w_opt = Inf
SDCA: PASS_GRAD = 56, cost = 0.0026231432116007, optgap = Inf, time = 12.614708, w_opt = Inf
SDCA: PASS_GRAD = 57, cost = 0.0028059036354176, optgap = Inf, time = 12.842588, w_opt = Inf
SDCA: PASS_GRAD = 58, cost = 0.0026651075026217, optgap = Inf, time = 13.068472, w_opt = Inf
SDCA: PASS_GRAD = 59, cost = 0.0026122521609286, optgap = Inf, time = 13.294801, w_opt = Inf
SDCA: PASS_GRAD = 60, cost = 0.0030396843436430, optgap = Inf, time = 13.520416, w_opt = Inf
SDCA: PASS_GRAD = 61, cost = 0.0026345120042866, optgap = Inf, time = 13.743315, w_opt = Inf
SDCA: PASS_GRAD = 62, cost = 0.0026183648775139, optgap = Inf, time = 13.973591, w_opt = Inf
SDCA: PASS_GRAD = 63, cost = 0.0026189935766105, optgap = Inf, time = 14.197492, w_opt = Inf
SDCA: PASS_GRAD = 64, cost = 0.0026062197833931, optgap = Inf, time = 14.423773, w_opt = Inf
SDCA: PASS_GRAD = 65, cost = 0.0026147486116276, optgap = Inf, time = 14.647418, w_opt = Inf
SDCA: PASS_GRAD = 66, cost = 0.0026050075253296, optgap = Inf, time = 14.876376, w_opt = Inf
SDCA: PASS_GRAD = 67, cost = 0.0026195911142901, optgap = Inf, time = 15.103305, w_opt = Inf
SDCA: PASS_GRAD = 68, cost = 0.0026006190575285, optgap = Inf, time = 15.329489, w_opt = Inf
SDCA: PASS_GRAD = 69, cost = 0.0026256440826873, optgap = Inf, time = 15.554179, w_opt = Inf
SDCA: PASS_GRAD = 70, cost = 0.0026152275006882, optgap = Inf, time = 15.774538, w_opt = Inf
SDCA: PASS_GRAD = 71, cost = 0.0026211092044253, optgap = Inf, time = 16.004433, w_opt = Inf
SDCA: PASS_GRAD = 72, cost = 0.0026081471505207, optgap = Inf, time = 16.225829, w_opt = Inf
